o+c,1
d+e,3
a+v,2
e+a,1
o+n,1
s+a,1
u+a,1
©+,1
d+a,3
u+n,1
a+s,5
i+e,3
n+v,1
+e,7
m+i,1
i+,1
p+e,1
m+b,1
n+o,4
v+e,1
a+c,2
a+n,1
f+a,2
n+a,4
r+t,1
a+t,1
b+a,4
¡+t,1
e+c,1
b+u,5
n+i,1
r+d,1
+h,2
a+l,3
+a,1
d+u,1
j+a,1
t+e,4
+b,1
m+e,5
n+t,2
i+c,2
r+a,2
l+,2
t+r,1
sum,325
h+e,1
t+a,9
l+i,2
p+l,1
o+m,1
o+s,3
c+i,3
p+u,1
t+i,2
u+,1
e+n,12
Ã+©,1
n+c,1
+f,2
Ã+±,1
s+u,2
r+m,1
m+o,1
n+,2
c+h,1
Ã+­,2
c+e,2
y+u,1
i+r,1
c+o,3
e+m,1
s+p,1
o+l,2
a+,7
o+r,4
z+,1
a+Ã,1
d+i,1
s+,3
t+o,3
i+o,1
a+d,2
b+i,3
v+o,2
+n,1
­+a,1
u+Ã,2
+s,2
l+u,1
i+b,1
s+i,1
+u,1
o+,6
i+t,5
r+,2
l+a,3
a+y,2
+d,3
u+s,4
a+m,2
p+o,1
z+a,1
q+u,2
e+r,2
+m,1
c+u,2
m+p,2
+l,1
+t,3
s+t,5
+c,3
­+d,1
d+Ã,1
g+u,4
u+m,1
e+z,1
i+u,1
y+a,1
i+z,1
n+e,2
m+a,1
p+i,1
i+d,1
e+,9
h+o,2
e+s,6
+g,4
r+i,3
+i,1
+p,1
u+e,8
+v,1
l+l,1
Ã+¡,1
d+o,2
e+l,3
±+o,1
i+a,2
a+j,1
l+e,1
v+a,1
c+a,2
f+e,2
u+d,3
g+r,1
r+r,1
l+o,1
a+r,5
h+a,1
e+d,1
n+d,1
a+b,3
